,neg_sent,neu_sent,pos_sent,Topic0,Topic1,Topic2,Topic3,y_3,y_7,y_30,y_90
0,0.017,0.799,0.184,0.88,0.08,0.02,0.02,False,False,False,False
1,0.021,0.8490000000000001,0.13,0.89,0.08,0.02,0.02,True,True,True,True
2,0.026000000000000002,0.826,0.14800000000000002,0.89,0.07,0.02,0.02,True,True,False,False
3,0.012,0.8759999999999999,0.11199999999999999,0.02,0.01,0.96,0.01,False,False,False,False
4,0.024,0.813,0.162,0.01,0.01,0.96,0.01,True,False,False,False
5,0.021,0.84,0.139,0.02,0.01,0.96,0.01,True,True,True,True
6,0.012,0.846,0.142,0.22,0.01,0.75,0.01,True,False,False,False
7,0.022000000000000002,0.851,0.127,0.02,0.01,0.96,0.01,False,False,True,False
8,0.018000000000000002,0.821,0.161,0.15,0.01,0.83,0.01,True,False,False,True
9,0.032,0.795,0.17300000000000001,0.15,0.01,0.82,0.01,False,True,True,True
10,0.032,0.8109999999999999,0.157,0.96,0.01,0.01,0.01,False,False,False,False
11,0.025,0.833,0.142,0.96,0.01,0.01,0.01,False,True,True,True
12,0.03,0.821,0.15,0.96,0.01,0.01,0.01,True,True,False,False
13,0.013999999999999999,0.81,0.17600000000000002,0.93,0.01,0.04,0.01,True,True,True,True
14,0.022000000000000002,0.8170000000000001,0.161,0.95,0.01,0.02,0.01,True,False,False,True
15,0.02,0.848,0.132,0.95,0.02,0.02,0.02,True,False,False,False
16,0.017,0.8270000000000001,0.156,0.95,0.02,0.02,0.02,True,True,False,False
17,0.006999999999999999,0.8270000000000001,0.166,0.96,0.01,0.02,0.01,False,False,False,False
18,0.02,0.855,0.125,0.95,0.02,0.02,0.02,False,False,False,False
19,0.016,0.8340000000000001,0.149,0.95,0.02,0.02,0.02,True,False,False,False
20,0.027999999999999997,0.862,0.11,0.96,0.01,0.01,0.01,True,False,False,False
21,0.017,0.816,0.16699999999999998,0.95,0.02,0.02,0.02,False,False,True,False
22,0.027999999999999997,0.7879999999999999,0.184,0.95,0.02,0.02,0.02,False,False,False,False
23,0.024,0.833,0.14300000000000002,0.96,0.01,0.02,0.01,True,True,True,True
24,0.017,0.821,0.162,0.95,0.02,0.02,0.02,True,True,True,True
25,0.022000000000000002,0.8240000000000001,0.154,0.95,0.01,0.02,0.01,True,False,False,False
26,0.018000000000000002,0.825,0.157,0.95,0.02,0.02,0.02,False,False,False,True
27,0.017,0.833,0.15,0.95,0.02,0.02,0.02,True,False,True,True
28,0.016,0.823,0.161,0.95,0.02,0.02,0.02,False,False,True,True
29,0.021,0.818,0.161,0.94,0.02,0.02,0.02,True,True,False,True
30,0.027999999999999997,0.838,0.134,0.95,0.02,0.02,0.02,True,False,False,True
31,0.02,0.8240000000000001,0.156,0.95,0.02,0.02,0.02,False,True,False,True
32,0.021,0.8240000000000001,0.155,0.01,0.01,0.96,0.01,True,True,True,True
33,0.027999999999999997,0.8140000000000001,0.158,0.02,0.01,0.96,0.01,True,True,True,True
34,0.017,0.823,0.16,0.02,0.01,0.96,0.01,True,False,False,False
35,0.026000000000000002,0.8140000000000001,0.16,0.01,0.01,0.97,0.01,False,False,True,False
36,0.016,0.841,0.14300000000000002,0.02,0.01,0.96,0.01,False,True,False,True
37,0.016,0.815,0.16899999999999998,0.27,0.01,0.7,0.01,False,False,False,True
38,0.024,0.835,0.141,0.17,0.01,0.8,0.01,False,True,True,True
39,0.027999999999999997,0.836,0.136,0.35,0.01,0.62,0.01,True,True,True,True
40,0.024,0.8,0.175,0.95,0.02,0.02,0.02,True,True,True,True
41,0.02,0.865,0.115,0.95,0.02,0.02,0.02,False,False,False,True
42,0.023,0.85,0.127,0.95,0.02,0.02,0.02,True,True,True,True
43,0.015,0.795,0.191,0.95,0.02,0.02,0.02,True,True,True,False
44,0.032,0.794,0.174,0.96,0.01,0.02,0.01,True,True,True,True
45,0.02,0.8390000000000001,0.141,0.96,0.01,0.02,0.01,True,True,True,True
46,0.015,0.828,0.157,0.95,0.01,0.02,0.01,True,True,True,True
47,0.016,0.8390000000000001,0.146,0.02,0.02,0.95,0.02,False,True,True,True
48,0.023,0.833,0.14300000000000002,0.02,0.01,0.96,0.01,False,False,True,False
49,0.012,0.812,0.17600000000000002,0.02,0.01,0.96,0.01,True,True,True,True
50,0.01,0.8140000000000001,0.17600000000000002,0.02,0.02,0.95,0.02,True,True,True,True
51,0.008,0.818,0.174,0.96,0.01,0.01,0.01,True,True,True,True
52,0.015,0.8340000000000001,0.15,0.95,0.02,0.02,0.02,True,True,True,True
53,0.021,0.816,0.163,0.96,0.01,0.02,0.01,False,False,False,False
54,0.021,0.8009999999999999,0.17800000000000002,0.96,0.01,0.01,0.01,True,True,True,True
55,0.023,0.82,0.157,0.02,0.01,0.96,0.01,True,False,False,True
56,0.013000000000000001,0.884,0.102,0.01,0.01,0.96,0.01,True,False,False,True
57,0.019,0.87,0.11199999999999999,0.02,0.01,0.96,0.01,False,False,False,False
58,0.036000000000000004,0.785,0.18,0.01,0.01,0.96,0.01,False,False,False,False
59,0.02,0.823,0.157,0.96,0.01,0.01,0.01,False,True,True,True
60,0.027000000000000003,0.8290000000000001,0.14400000000000002,0.96,0.01,0.01,0.01,False,False,False,False
61,0.017,0.81,0.17300000000000001,0.38,0.02,0.59,0.02,False,False,False,False
62,0.012,0.866,0.122,0.42,0.02,0.55,0.02,True,False,False,True
63,0.023,0.8759999999999999,0.10099999999999999,0.68,0.01,0.3,0.01,False,False,True,False
64,0.021,0.867,0.11199999999999999,0.95,0.02,0.02,0.02,False,False,False,False
